delta_x,delta_y
0.0,0.0
0.002017693124290645,-0.06105019559817423
0.03085776220590108,0.05212842852701792
-0.11086809182924183,-0.0024539401433150386
0.025182895356180904,-0.17471423692701002
-0.15353890377903592,-0.04497994457714378
0.17516837830895346,-0.0952652459504788
-0.032252619462784564,-0.3426924268174546
0.028515768133128627,-0.008979766166949383
-0.07255377208666626,-0.13140752870101616
-0.11139448066367214,-0.104242897370843
-0.0398707782484234,0.043194116875363765
-0.10534362328732844,-0.28654304083484394
-0.007614952476948073,-0.04036606099105245
-0.11006102654568244,-0.249127418010994
-0.23546242346665905,-0.3609114646810812
-0.08177378272266647,-0.2835511383057329
-0.19738989361430576,-0.2073642075024421
-0.24721989795505145,-0.12050522958403576
-0.17164566070280113,-0.3542284990316119
-0.3174321187093264,-0.4537704643991464
-0.142179292735404,-0.2430450731992975
-0.17781048611888609,-0.2826902705321669
-0.17007891159431288,-0.3329260529074773
-0.1798365568879337,-0.3305729734163059
-0.3162180162320796,-0.2271356696502089
-0.11673230538719642,-0.17283833865808074
-0.20254500301577316,-0.4240823945048801
-0.00425905142774471,-0.33288625039078024
-0.2486728814230248,-0.4247380178475784
-0.07874860295812504,-0.3041679609209653
-0.2080237233972688,-0.3164953217400275
-0.4984784993133504,-0.3488795105092628
-0.4311395641264349,-0.2863200817125304
-0.3296363240899349,-0.467989109685057
-0.4817873696267677,-0.3905759001684063
-0.5412193012521317,-0.3715817493552317
-0.4563273449031911,-0.2907599658654254
-0.4043113929495662,-0.3747378117710502
-0.3970658556366204,-0.5913830588395754
-0.5662741016305246,-0.21865943958207368
-0.6487159620148242,-0.44239707768437264
-0.2882075440009715,-0.5542349107915466
-0.29690714266613405,-0.5287091962773661
-0.3463604933487321,-0.6859519475493344
-0.3641015439131143,-0.5909446443731851
-0.3102278561674421,-0.6723190931716189
-0.3419082106095085,-0.6152456405981863
-0.4225172502864263,-0.5854344575214394
-0.3181911067607228,-0.6483276885726277
-0.28275836527784426,-0.6496667895155206
-0.333877635877293,-0.6504177812352759
-0.5812354868229133,-0.7205879694637806
-0.8652291137268663,-0.37268330132389305
-0.5751733292446387,-0.5036894201957836
-0.3404204557002277,-0.1994168046675017
